"","airport","city","country","latitude","longitude"
"297","TUNGGUL WULUNG","CILACAP","INDONESIA",-7.645,109.034
"298","PENGGUNG","CIREBON","INDONESIA",-6.756,108.539
"299","CIRO ALEGRIA","CIRO ALEGRIA","PERU",-4.607,-77.941
"300","CIUDAD BOLIVAR","CIUDAD BOLIVAR","VENEZUELA",8.122,-63.537
"301","HACIENDA CLEMENTINA","CLEMENTIA","ECUADOR",-1.706,-79.379
"302","AUVERGNE","CLERMONT FERRAND","FRANCE",45.786,3.169
"303","CLYDE RIVER","CLYDE RIVER","CANADA",70.486,-68.517
"304","CAPITAN ANIBAL ARAB","COBIJA","BOLIVIA",-11.04,-68.783
"305","COBURG BRANDENSTEINSEBENE","COBURG","GERMANY",50.263,10.996
"306","FRANCISCO DE ORELLANA","COCA","ECUADOR",-0.463,-76.986
"307","JORGE WILSTERMAN","COCHABAMBA","BOLIVIA",-17.421,-66.177
"308","COCHSTEDT SCHNEIDLINGEN","COCHSTEDT","GERMANY",51.856,11.418
"309","SAN SALVADOR","COCKBURN TOWN","BAHAMAS",24.063,-74.524
"310","COCO ISLAND","COCO ISLAND","MYANMAR",14.141,93.368
"311","COETIVY","COETIVY","SEYCHELLES",-7.164,56.264
"312","CHATEAUBERNARD","COGNAC","FRANCE",45.658,-0.318
"313","COIMBATORE","COIMBATORE","INDIA",11.031,77.044
"314","COLD LAKE","COLD LAKE","CANADA",54.405,-110.279
"315","COLLIQUE","COLLIQUE","PERU",-11.929,-77.061
"316","HOUSSEN","COLMAR","FRANCE",48.11,7.359
"317","KOLN BONN","COLOGNE","GERMANY",50.866,7.143
"318","CORONEL SUAREZ","COLONEL SUAREZ","ARGENTINA",-37.446,-61.889
"319","LAGUNA DE LOS PATOS INTERNATIONAL","COLONIA","URUGUAY",-34.456,-57.771
"320","COMODORO RIVADAVIA","COMODORO RIVADAVIA","ARGENTINA",-45.785,-67.466
"321","COMOX","COMOX","CANADA",49.711,-124.887
"322","UNKNOWN","CONCEICAO DO ARAGUAIA","BRAZIL",-8.348,-49.301
"323","CARRIEL SUR INTERNATIONAL","CONCEPCION","CHILE",-36.773,-73.063
"324","TENIENTE COL CARMELO PERALTA","CONCEPTION","PARAGUAY",-23.442,-57.427
"325","CONCEPCION","CONCEPTION","BOLIVIA",-16.143,-62.026
"326","COMODORO PIERRESTEGUI","CONCORDIA","ARGENTINA",-31.297,-57.996
"327","MANDINGA","CONDOTO","COLOMBIA",5.072,-76.676
"328","MOHAMED BOUDIAF INTERNATIONAL","CONSTANTINE","ALGERIA",36.277,6.624
"329","GOLD COAST COOLANGATTA","COOLANGATTA","AUSTRALIA",-28.164,153.505
"330","CHAMONATE","COPIAPO","CHILE",-27.296,-70.414
"331","KUGLUKTUK","COPPERMINE","CANADA",67.817,-115.144
"332","FAIRMONT HOT SPRINGS","CORAL HARBOUR","CANADA",50.332,-115.874
"333","AMBROSIO L V TARAVELLA","CORDOBA","ARGENTINA",-31.324,-64.208
"334","JOSE LEONARDO CHIRINOS","CORO","VENEZUELA",11.415,-69.681
"335","CORONATION","CORONATION","CANADA",52.075,-111.445
"336","LAS BRUJAS","COROZAL","COLOMBIA",9.332,-75.286
"337","CORRIENTES","CORRIENTES","ARGENTINA",-27.445,-58.762
"338","CORTE","CORTE","FRANCE",42.294,9.193
"339","CORUMBA INTERNATIONAL","CORUMBA","BRAZIL",-19.012,-57.673
"340","COTONOU CADJEHOUN","COTONOU","BENIN",6.357,2.384
"341","COTTBUS DREWITZ","COTTBUS","GERMANY",51.889,14.532
"342","VOISINS","COULOMMIERS","FRANCE",48.838,3.016
"343","COVENTRY","COVENTRY","ENGLAND",52.37,-1.48
"344","TENIENTE VIDAL","COYHAIQUE","CHILE",-45.594,-72.106
"345","CREIL","CREIL","FRANCE",49.253,2.519
"346","FORQUILHINHA","CRICIUMA","BRAZIL",-28.726,-49.425
"347","CRUZEIRO DO SUL","CRUIZIRO DO SUL","BRAZIL",-7.6,-72.769
"348","CUAMBA","CUAMBA","MOZAMBIQUE",-14.82,36.532
"349","GENERAL SANTOS","CUBI NAS","PHILIPPINES",6.106,125.236
"350","CAMILO DAZA","CUCUTA","COLOMBIA",7.928,-72.511
"351","CUDDAPAH","CUDDAPAH","INDIA",14.51,78.773
"352","MARISCAL LAMAR","CUENCA","ECUADOR",-2.889,-78.984
"353","CUFAR","CUFAR","GUINEA BISSAU",11.288,-15.181
"354","MARECHAL RONDON","CUIABA","BRAZIL",-15.653,-56.117
"355","CULDROSE","CULDROSE","ENGLAND",50.086,-5.256
"356","ANTONIO JOSE DE SUCRE","CUMANA","VENEZUELA",10.45,-64.13
"357","GENERAL FREIRE","CURICO","CHILE",-34.967,-71.217
"358","BACACHERI","CURITIBA","BRAZIL",-25.405,-49.232
"359","AFONSO PENA","CURITIBA","BRAZIL",-25.528,-49.176
"360","CURUZU CUATIA","CURUZU CUATIA","ARGENTINA",-29.771,-57.979
"361","CUTRALCO","CUTRALCO","ARGENTINA",-38.939,-69.264
"362","VELAZCO ASTETE","CUZCO","PERU",-13.536,-71.939
"363","DAET","DAET","PHILIPPINES",14.129,122.98
"364","DAHLEMER BINZ","DAHLEMER BINZ","GERMANY",50.406,6.528
"365","LEOPOLD SEDAR SENGHOR INTERNATIONAL","DAKAR","SENEGAL",14.739,-17.49
"366","ZHOUSHUIZI","DALIAN","CHINA",38.966,121.538
